지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심적설(cm),평균 전운량(1/10)
108,서울,2024-01-01,3.3,-.3,7.3,0,3.2,1.7,65,83.4,4.3,7.44,,2.4,6.4
108,서울,2024-01-02,2.9,2.2,4.3,0,3.1,1.6,59,72.6,.3,3.87,,,8.9
108,서울,2024-01-03,1.8,-1.1,4,.6,4.2,1.6,72,80.4,1.2,3.32,,,6
108,서울,2024-01-04,1.4,-3.3,4.7,,3.4,1.9,64,74.3,.5,5.22,,,6.1
108,서울,2024-01-05,5,1.4,9.1,0,4.8,2.3,59,77.1,5.7,7.77,,,4.1
108,서울,2024-01-06,.7,-2.7,5.2,2.4,4,2.2,34,63.9,8.7,11.42,6,6,2.3
108,서울,2024-01-07,-4.4,-8.3,-.9,,6.9,3.1,34,57.4,9.1,12.13,,5.6,.1
108,서울,2024-01-08,-4.7,-10.3,0,,4,1.8,29,57.8,8.3,11.65,,1.5,3.8
108,서울,2024-01-09,-.6,-1.9,.4,1.6,3,2,62,84,0,1.48,2.8,3.1,8.5
108,서울,2024-01-10,-1,-4.1,3.3,,3,1.7,69,85.9,5,7.81,,3,3.1
108,서울,2024-01-11,1.7,-2.4,4.5,,3.9,1.9,69,80.6,.4,4.58,,2,7
108,서울,2024-01-12,.9,-1.4,4.2,,4.3,2.3,28,61.6,8.9,11.77,,,0
108,서울,2024-01-13,.4,-3.8,6.4,,3.8,1.4,23,44.3,9.1,12.05,,,.3
108,서울,2024-01-14,-.6,-3.3,2.4,3.1,4.2,2.1,53,74.5,.7,1.28,,,5.8
108,서울,2024-01-15,-3.7,-6.9,.9,,4.9,2.5,34,51.3,9.2,12.82,,,0
108,서울,2024-01-16,-2.1,-7.2,4.3,,3.4,1.5,32,49.8,8.3,11.86,,,2.3
108,서울,2024-01-17,.6,-2.3,1.9,9.7,3.4,2,54,78.5,0,1.9,2.3,2.3,9.4
108,서울,2024-01-18,4.5,1.4,9.4,.5,5.5,2.4,63,81.5,6.3,9.86,,1.1,4.5
108,서울,2024-01-19,5.4,4,9,,7.1,4.5,52,65.4,7.1,10.29,,,7
108,서울,2024-01-20,3.4,1.9,4.9,.4,7.2,5.3,57,69.5,0,2.74,,,8.9
108,서울,2024-01-21,1.7,-2.4,4.3,.4,5.3,2.5,65,75.8,0,3.57,,,9.1
108,서울,2024-01-22,-8.7,-11.9,-2.4,.2,6.3,4.1,55,65.6,3.6,8.49,2.3,2.3,5
108,서울,2024-01-23,-11.7,-14,-8.2,,6.6,3.9,44,53.6,9.1,13.53,,,.5
108,서울,2024-01-24,-8,-11.2,-3.7,,5.9,3.3,39,52,9.3,13.63,,,0
108,서울,2024-01-25,-5.3,-9.7,-.5,,3.7,2.1,30,47.8,9.4,13.57,,,0
108,서울,2024-01-26,-1.7,-6.9,4,,3.9,1.9,39,62.5,9.4,12.68,,,.8
108,서울,2024-01-27,-.5,-4.6,4.6,,4.8,1.8,41,70,8,12.43,,,2.9
108,서울,2024-01-28,-1.5,-5,3.8,,3.6,1.9,44,62.3,8,12.52,,,2
